Query,TTL,Node
Can I get CCB?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Do I qualify for Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Can I get help to pay for day care?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Am I eligible for child benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Who is eligible for the Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What are the requirements for CCB?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Is my family eligible for child care assistance?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
How do I know if I qualify for CCB?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What are the criteria for receiving child benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Can single parents apply for Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Who qualifies for child care financial assistance?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Are there income limits for the Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What makes me eligible for CCB?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Can new immigrants receive child benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What conditions apply for child care benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Is CCB available for all Canadian children?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
How to check eligibility for Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Are there age restrictions for children under the CCB program?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Do I qualify for CCB as a part-time worker?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What are the prerequisites for receiving child care benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Can low-income families apply for Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Are there specific requirements for CCB eligibility?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Who can receive child care subsidies in Canada?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Is there an eligibility test for the Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
How do I determine if I’m eligible for child benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What’s the income threshold for Canada Child Benefit?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Are temporary residents eligible for CCB?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Can I receive child benefits if I’m unemployed?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
What are the CCB eligibility criteria for new parents?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
How does the government determine CCB eligibility?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
Are all Canadian children entitled to child benefits?,https://test.canada.ca/ontologie-gc-ontology/services/canada-child-benefit.ttl,eligibility
